BPUIC;BEZEICHNUNG_OFFIZIELL;GEMEINDENAME;BFS_NUMMER;KANTONSKUERZEL;E_WGS84;N_WGS84
8506368;Gfeld;Trogen;3025.0;AR;9.45587001;47.404990000000005
8509187;Rodels-Realta;Cazis;3661.0;GR;9.43293;46.73514001
8506369;Trogen;Trogen;3025.0;AR;9.46148;47.407340000000005
8506384;Schachen (Gais);Gais;3022.0;AR;9.477260000000001;47.36152
8506386;Stoss AR;Gais;3022.0;AR;9.49517;47.36083
8506387;Kreuzstrasse;Altstätten;3251.0;SG;9.5056;47.3657
8509402;Salez-Sennwald;Sennwald;3274.0;SG;9.50233573;47.24144906
8506400;Sandbüchel;Rorschacherberg;3216.0;SG;9.52175;47.475390000000004
8509004;Bad Ragaz;Bad Ragaz;3291.0;SG;9.50522498;47.01030947
8506355;Heiden;Heiden;3032.0;AR;9.53648871;47.44599775
8509401;Rüthi SG;Rüthi (SG);3256.0;SG;9.53605686;47.28673909
8509051;Haldenstein;Chur;3901.0;GR;9.53312;46.87698001
8506319;Altstätten SG;Altstätten;3251.0;SG;9.55651988;47.37423481
8509056;Landquart Ried;Landquart;3955.0;GR;9.56087;46.9572
8509055;Igis;Landquart;3955.0;GR;9.56475999;46.94983
8506318;Rebstein-Marbach;Rebstein;3255.0;SG;9.58675409;47.39264002
8506313;Rheineck;Rheineck;3235.0;SG;9.59091264;47.46688593
8506316;Au SG;Au (SG);3231.0;SG;9.64125911;47.43611582
8509061;Furna;Jenaz;3863.0;GR;9.70895;46.93978
8509062;Jenaz;Jenaz;3863.0;GR;9.71831999;46.92975
8509075;Davos Frauenkirch;Davos;3851.0;GR;9.79924999;46.76660001
8509199;Spinas;Bever;3781.0;GR;9.84533;46.55983999
8509070;Davos Laret;Davos;3851.0;GR;9.87190999;46.84809
8509068;Klosters Platz;Klosters-Serneus;3871.0;GR;9.88093999;46.86921001
8509254;Punt Muragl;Samedan;3786.0;GR;9.88118999;46.509679999999996
8509250;Bever;Bever;3781.0;GR;9.88847;46.54991
