FID,BPUIC,BEZEICHNUN,GEMEINDENA,BFS_NUMMER,KANTONSKUE,E_WGS84,N_WGS84
0,8574264,"Goldach, Sonnental",Goldach,3213,SG,9.458067320000000,47.467718840000003
1,8584901,Tankstelle PU Schwizer Untere,Goldach,3213,SG,9.460012100000000,47.468067980000001
2,8574614,"Sargans, Bahnhof",Sargans,3296,SG,9.444201339999999,47.045825790000002
3,8579727,"Grabs, Hochhaus",Grabs,3273,SG,9.449837179999999,47.176753589999997
4,8591778,"Sargans, Gutshof",Sargans,3296,SG,9.445244049999999,47.052933930000002
5,8574306,"Sax, Farnen",Sennwald,3274,SG,9.452664550000000,47.222745089999997
6,8595373,"Grabs, Unterdorf",Grabs,3273,SG,9.451957889999999,47.182960889999997
7,8580213,"Goldach, Rathaus",Goldach,3213,SG,9.465361750000000,47.475994409999998
8,8509959,"Vilters, Zentrum",Vilters-Wangs,3297,SG,9.451579539999999,47.024614300000003
9,8574266,"Goldach, Raiffeisenbank",Goldach,3213,SG,9.469149480000000,47.476143909999998
10,8515470,Sargans Schleife West (Abzw),Mels,3293,SG,9.454174890000001,47.040113830000003
11,8574270,"Rorschach, Löwengarten",Rorschach,3215,SG,9.481130759999999,47.478515119999997
12,8517505,Buchs SG Technikgebäude,Buchs (SG),3271,SG,9.469984699999999,47.165566230000003
13,8530907,Pardiel (Laufböden),Bad Ragaz,3291,SG,9.463994390000000,46.989591179999998
14,8580693,"Rorschacherberg, Rosenacker",Rorschacherberg,3216,SG,9.484003149999999,47.469008510000002
15,8574271,"Rorschach, Landhaus",Rorschach,3215,SG,9.484643780000001,47.478417049999997
16,8591463,"Buchs SG, Sternstrasse",Buchs (SG),3271,SG,9.474937760000000,47.175070269999999
17,8591449,"Buchs SG, Grünaustrasse",Buchs (SG),3271,SG,9.475178130000000,47.165789300000000
18,8574283,"Rorschacherberg, Pflegeheim",Rorschach,3215,SG,9.487347990000000,47.472827029999998
19,8591460,"Buchs SG, Röllweg",Buchs (SG),3271,SG,9.475594579999999,47.157323980000001
20,8509403,Haag-Gams,Gams,3272,SG,9.478867040000001,47.207349690000001
21,8574041,"Buchs SG, Bahnhof",Buchs (SG),3271,SG,9.478425030000000,47.167900220000000
22,8586382,66 Extern RTB/FL,Sevelen,3275,SG,9.476467299999999,47.115259420000001
23,8574286,"Rorschacherberg, Bleichi",Rorschacherberg,3216,SG,9.490687339999999,47.468926099999997
24,8591459,"Buchs SG, Rheinaustrasse",Buchs (SG),3271,SG,9.478929870000000,47.160036179999999
25,8574561,"Bad Ragaz, Pizolbahn",Bad Ragaz,3291,SG,9.473768650000000,47.017087240000002
26,8591469,"Buchs SG, Ackerweg",Buchs (SG),3271,SG,9.480588020000001,47.154401100000001
27,8591452,"Räfis, Gätterli",Buchs (SG),3271,SG,9.481180289999999,47.152294079999997
28,8509408,Trübbach,Wartau,3276,SG,9.480345600000000,47.071583060000002
29,8595976,"Räfis, Stationsstrasse",Buchs (SG),3271,SG,9.484206680000000,47.149342959999998
30,8574313,"Sennwald, Dornen",Sennwald,3274,SG,9.488397369999999,47.251500829999998
31,8587408,"Sevelen, Rathaus",Sevelen,3275,SG,9.486064630000000,47.119310919999997
32,8582474,"Bad Ragaz, Freihof",Bad Ragaz,3291,SG,9.482775459999999,47.021084170000002
33,8509454,"Balen-Gassaura, Alpenrösli",Pfäfers,3294,SG,9.485454890000000,46.987860220000002
34,8509468,"Vadura, Dorf",Pfäfers,3294,SG,9.484681150000000,46.958251969999999
35,8574573,"Vadura, Abzw. Bläs",Pfäfers,3294,SG,9.486442060000000,46.961693820000001
36,8587566,"Salez, Löwen",Sennwald,3274,SG,9.499787919999999,47.235056710000002
37,8506387,Kreuzstrasse,Altstätten,3251,SG,9.505599999999999,47.365699999999997
38,8574572,"Pfäfers, Grosswies",Pfäfers,3294,SG,9.491864469999999,46.980448039999999
39,8578474,"Altstätten SG, Ruppenhalde",Altstätten,3251,SG,9.507850910000000,47.388635059999999
40,8509402,Salez-Sennwald,Sennwald,3274,SG,9.502335730000000,47.241449060000001
41,8579697,"Weite, Lonna/Heuwiese",Wartau,3276,SG,9.501798920000001,47.092845269999998
42,8581653,"Bad Ragaz, Kronenplatz",Bad Ragaz,3291,SG,9.499903650000000,47.001827440000000
43,8506400,Sandbüchel,Rorschacherberg,3216,SG,9.521750000000001,47.475389999999997
44,8575114,"Bad Ragaz, Bahnhof",Bad Ragaz,3291,SG,9.504866560000000,47.010133420000003
45,8509004,Bad Ragaz,Bad Ragaz,3291,SG,9.505224979999999,47.010309470000003
46,8578487,"Eichberg, Dorf",Eichberg,3252,SG,9.523554190000000,47.346082650000000
47,8594777,"Bad Ragaz, Kreisel Ausserfeld",Bad Ragaz,3291,SG,9.511565299999999,46.998629760000000
48,8581488,"Staad SG, Speck",Thal,3237,SG,9.543055180000000,47.483586230000000
49,8578462,"Lüchingen, Kesselbrücke",Altstätten,3251,SG,9.547759320000001,47.382694549999997
50,8582404,"Lüchingen, Wannelocher",Altstätten,3251,SG,9.548954660000000,47.388790989999997
51,8506452,"Lüchingen, Dorf",Altstätten,3251,SG,9.553220430000000,47.386445590000001
52,8595237,"Altstätten SG, Allmend",Altstätten,3251,SG,9.552561300000001,47.366834109999999
53,8517193,Thal Fuchsloch,Thal,3237,SG,9.558607810000000,47.479523450000002
54,8574178,"Oberriet SG, Bahnhof",Oberriet (SG),3254,SG,9.571281819999999,47.323346049999998
55,8506318,Rebstein-Marbach,Rebstein,3255,SG,9.586754089999999,47.392640020000002
56,8506442,Rheineck Schifflände,Rheineck,3235,SG,9.590771780000001,47.468546609999997
57,8578458,"Rebstein, Ausserdorf",Rebstein,3255,SG,9.588625140000000,47.400682809999999
58,8588228,"Montlingen, Reitzentrum",Oberriet (SG),3254,SG,9.589947080000000,47.341561749999997
59,8588225,"Montlingen, Anger",Oberriet (SG),3254,SG,9.590852150000000,47.349552820000000
60,8578457,"Rebstein, Steinacker",Rebstein,3255,SG,9.594238470000001,47.401855840000003
61,8574122,"Berneck, Maienhalde",Berneck,3233,SG,9.605535769999999,47.428061290000002
62,8578455,"Balgach, Ländern",Balgach,3232,SG,9.613751900000000,47.409137999999999
63,8574133,"Berneck, Schlossbrücke",Berneck,3233,SG,9.618927090000000,47.422230919999997
64,8578454,"Balgach, Optik",Balgach,3232,SG,9.619669050000001,47.409602290000002
65,8574134,"Berneck, Rosenberg",Berneck,3233,SG,9.621100210000000,47.419940500000003
66,8574137,"Heerbrugg, Bahnhof",Au (SG),3231,SG,9.627779500000001,47.410861509999997
67,8574110,"St. Margrethen SG, Mineralbad",St. Margrethen,3236,SG,9.635013499999999,47.449980760000003
68,8591852,"Widnau, Rosenau",Widnau,3238,SG,9.634565560000000,47.415672440000002
69,8506443,"Au SG, Monstein",Au (SG),3231,SG,9.639111220000000,47.437450190000000
70,8506316,Au SG,Au (SG),3231,SG,9.641259110000000,47.436115819999998
71,8595539,"Widnau, Bünteli",Widnau,3238,SG,9.644582959999999,47.405017290000004
72,8578427,"St. Margrethen SG, Heldsberg",St. Margrethen,3236,SG,9.648732290000000,47.445589419999997
73,8591747,"Rapperswil SG, Bildau",Rapperswil-Jona,3340,SG,8.829222720000001,47.232510640000001
74,8578532,"Jona, Erlen",Rapperswil-Jona,3340,SG,8.852014290000000,47.230344029999998
75,8573598,"Neuhaus SG, Ochsen",Eschenbach (SG),3342,SG,8.946362239999999,47.242857839999999
76,8573855,"Schmerikon, Brücke",Schmerikon,3338,SG,8.961939599999999,47.229968090000000
77,8594375,"St. Gallenkappel, Holz",Eschenbach (SG),3342,SG,8.974763100000001,47.249238830000003
78,8506460,Betzikon SG,Eschenbach (SG),3342,SG,8.981077089999999,47.249649259999998
79,8503116,Uznach,Uznach,3339,SG,8.980690810000000,47.224282780000003
80,8594378,"Rüeterswil, Dorf",Eschenbach (SG),3342,SG,8.989004169999999,47.258746090000002
81,8583215,"Uznach, Spital West",Uznach,3339,SG,8.992846840000000,47.223689460000003
82,8574441,"Uznach, Kinderheim",Uznach,3339,SG,8.994214420000000,47.225758159999998
83,8506486,"Gebertingen, Schulhaus",Gommiswald,3341,SG,9.006895820000000,47.251972610000003
84,8530478,Atzmännig (Bergstation),Eschenbach (SG),3342,SG,9.010608460000000,47.279351849999998
85,8506494,"Gommiswald, Schönenbach",Gommiswald,3341,SG,9.012008059999999,47.228611190000002
86,8506188,Bronschhofen AMP,Wil (SG),3427,SG,9.030900010000000,47.481270000000002
87,8503996,"Kaltbrunn, Dorf",Kaltbrunn,3313,SG,9.024059790000001,47.213709659999999
88,8506181,Bronschhofen,Wil (SG),3427,SG,9.034660000000001,47.475439999999999
89,8517002,Kaltbrunn Kabelkabine,Kaltbrunn,3313,SG,9.026981320000001,47.215162810000002
90,8573875,"Kaltbrunn, Schulhaus Altbreit.",Kaltbrunn,3313,SG,9.027877070000001,47.211983680000003
91,8578825,"Wil SG, Bergholz",Wil (SG),3427,SG,9.038466200000000,47.458567350000003
92,8574439,"Uetliburg SG, Ottenhofen",Gommiswald,3341,SG,9.033627409999999,47.236554540000000
93,8506685,"Kirchberg SG, Post",Kirchberg (SG),3392,SG,9.040092140000000,47.411675940000002
94,8573616,"Wil SG, Schwanen",Wil (SG),3427,SG,9.043001080000000,47.464675700000001
95,8573998,"Mosnang, Dietenwil",Mosnang,3394,SG,9.040048470000000,47.347651239999998
96,8591660,"Wil SG, Oelberg",Wil (SG),3427,SG,9.047086240000001,47.471671729999997
97,8578520,Lamperswil SG,Kirchberg (SG),3392,SG,9.046235449999999,47.430356310000001
98,8506737,"Bronschhofen, Maugwil",Wil (SG),3427,SG,9.048377159999999,47.488898790000000
