FID;GMDNR;GMDNAME;AREA_HA
0;1;Aeugst am Albis;791
1;10;Obfelden;754
2;100;Stadel;1289
3;1001;Doppleschwand;695
4;1002;Entlebuch;5690
5;1004;Flühli;10817
6;1005;Hasle (LU);4031
7;1007;Romoos;3739
8;1008;Schüpfheim;3838
9;1009;Werthenstein;1580
10;101;Steinmaur;939
11;1010;Escholzmatt-Marbach;10640
12;102;Weiach;958
13;1021;Aesch (LU);461
14;1022;Altwis;293
15;1023;Ballwil;877
16;1024;Emmen;2037
17;1025;Ermensee;569
18;1026;Eschenbach (LU);1321
19;1030;Hitzkirch;2466
20;1031;Hochdorf;964
21;1032;Hohenrain;2323
22;1033;Inwil;1032
23;1037;Rain;942
24;1039;Römerswil;1660
25;1040;Rothenburg;1549
26;1041;Schongau;1243
27;1051;Adligenswil;699
28;1052;Buchrain;480
29;1053;Dierikon;278
30;1054;Ebikon;968
31;1055;Gisikon;108
32;1056;Greppen;332
33;1057;Honau;125
34;1058;Horw;1286
35;1059;Kriens;2730
36;1061;Luzern;2910
37;1062;Malters;2857
38;1063;Meggen;727
39;1064;Meierskappel;680
40;1065;Root;865
41;1066;Schwarzenberg;3930
42;1067;Udligenswil;622
43;1068;Vitznau;892
44;1069;Weggis;1179
45;1081;Beromünster;4213
46;1082;Büron;537
47;1083;Buttisholz;1671
48;1084;Eich;594
49;1085;Geuensee;647
50;1086;Grosswangen;1970
51;1088;Hildisrieden;704
52;1089;Knutwil;974
53;1091;Mauensee;722
54;1093;Neuenkirch;2548
55;1094;Nottwil;1033
56;1095;Oberkirch;910
57;1097;Rickenbach (LU);1185
58;1098;Ruswil;4525
59;1099;Schenkon;674
60;11;Ottenbach;502
61;1100;Schlierbach;717
62;1102;Sempach;891
63;1103;Sursee;583
64;1104;Triengen;2209
65;1107;Wolhusen;1429
66;111;Bäretswil;2219
67;112;Bubikon;1161
68;1121;Alberswil;354
69;1122;Altbüron;675
70;1123;Altishofen;576
71;1125;Dagmersellen;2387
72;1126;Ebersecken;856
73;1127;Egolzwil;418
74;1128;Ettiswil;1258
75;1129;Fischbach;805
76;113;Dürnten;1022
77;1130;Gettnau;605
78;1131;Grossdietwil;1020
79;1132;Hergiswil bei Willisau;3134
80;1135;Luthern;3776
81;1136;Menznau;3034
82;1137;Nebikon;373
83;1139;Pfaffnau;1768
84;114;Fischenthal;3024
85;1140;Reiden;2703
86;1142;Roggliswil;621
87;1143;Schötz;1527
88;1145;Ufhusen;1221
89;1146;Wauwil;296
90;1147;Wikon;828
91;115;Gossau (ZH);1826
92;1150;Zell (LU);1391
93;1151;Willisau;4117
94;116;Grüningen;879
95;117;Hinwil;2228
96;118;Rüti (ZH);1006
97;119;Seegräben;377
98;12;Rifferswil;651
99;120;Wald (ZH);2527
100;1201;Altdorf (UR);1021
101;1202;Andermatt;6226
102;1203;Attinghausen;4689
103;1204;Bauen;380
104;1205;Bürglen (UR);5306
105;1206;Erstfeld;5909
106;1207;Flüelen;1239
107;1208;Göschenen;10415
108;1209;Gurtnellen;8331
109;121;Wetzikon (ZH);1681
110;1210;Hospental;3517
111;1211;Isenthal;6097
112;1212;Realp;7784
113;1213;Schattdorf;1633
114;1214;Seedorf (UR);1548
115;1215;Seelisberg;1329
116;1216;Silenen;14479
117;1217;Sisikon;1645
118;1218;Spiringen;6468
119;1219;Unterschächen;8028
120;1220;Wassen;9688
121;13;Stallikon;1202
122;1301;Einsiedeln;9893
123;131;Adliswil;777
124;1311;Gersau;1436
125;1321;Feusisberg;1750
126;1322;Freienbach;1379
127;1323;Wollerau;631
128;1331;Küssnacht (SZ);2939
129;1341;Altendorf;2041
130;1342;Galgenen;1327
131;1343;Innerthal;5014
132;1344;Lachen;242
133;1345;Reichenburg;1155
134;1346;Schübelbach;2901
135;1347;Tuggen;1351
136;1348;Vorderthal;2797
137;1349;Wangen (SZ);846
138;135;Kilchberg (ZH);258
139;136;Langnau am Albis;867
140;1361;Alpthal;2288
141;1362;Arth;4204
142;1363;Illgau;1095
143;1364;Ingenbohl;1340
144;1365;Lauerz;919
145;1366;Morschach;2083
146;1367;Muotathal;17214
147;1368;Oberiberg;3317
148;1369;Riemenstalden;1120
149;137;Oberrieden;279
150;1370;Rothenthurm;2275
151;1371;Sattel;1739
152;1372;Schwyz;5318
153;1373;Steinen;1185
154;1374;Steinerberg;692
155;1375;Unteriberg;4643
156;138;Richterswil;753
157;139;Rüschlikon;293
158;14;Wettswil am Albis;377
159;1401;Alpnach;5379
160;1402;Engelberg;7487
161;1403;Giswil;8591
162;1404;Kerns;9258
163;1405;Lungern;4647
164;1406;Sachseln;5389
165;1407;Sarnen;7311
166;141;Thalwil;550
167;1501;Beckenried;2425
168;1502;Buochs;996
169;1503;Dallenwil;1548
170;1504;Emmetten;2492
171;1505;Ennetbürgen;932
172;1506;Ennetmoos;1407
